# t[Gyr], SFR_tot/<SFR_tot>
3.187500000000000888e+00 1.339616547495315446e+00
3.212500000000000799e+00 1.337181819122639004e+00
3.237500000000000711e+00 1.334706592689019367e+00
3.262500000000000622e+00 1.332191137881328924e+00
3.287500000000000977e+00 1.329635780488338970e+00
3.312500000000000888e+00 1.327040897492799409e+00
3.337500000000000799e+00 1.324406912468997888e+00
3.362500000000000711e+00 1.321734291270207917e+00
3.387500000000000622e+00 1.319023537990973827e+00
3.412500000000000977e+00 1.316275191189752336e+00
3.437500000000000888e+00 1.313489820358014315e+00
3.462500000000000799e+00 1.310668022622438755e+00
3.487500000000000711e+00 1.307810419667419621e+00
3.512500000000001066e+00 1.304917654865656917e+00
3.537500000000000977e+00 1.301990390605109571e+00
3.562500000000000888e+00 1.299029305801177481e+00
3.587500000000000799e+00 1.296035093583429498e+00
3.612500000000000711e+00 1.293008459146755662e+00
3.637500000000001066e+00 1.289950117757271641e+00
3.662500000000000977e+00 1.286860792903805839e+00
3.687500000000000888e+00 1.283741214586239243e+00
3.712500000000000799e+00 1.280592117732417767e+00
3.737500000000000711e+00 1.277414240735784023e+00
3.762500000000001066e+00 1.274208324106290036e+00
3.787500000000000977e+00 1.270975109227529876e+00
3.812500000000000888e+00 1.267715337213445315e+00
3.837500000000000799e+00 1.264429747858265785e+00
3.862500000000000711e+00 1.261119078673749616e+00
3.887500000000001066e+00 1.257784064008075298e+00
3.912500000000000977e+00 1.254425434241082993e+00
3.937500000000000888e+00 1.251043915050846778e+00
3.962500000000000799e+00 1.247640226746857151e+00
3.987500000000001155e+00 1.244215083665353383e+00
4.012500000000001066e+00 1.240786611706837572e+00
4.037500000000000533e+00 1.237353917108312551e+00
4.062500000000000888e+00 1.233899870924081821e+00
4.087500000000001243e+00 1.230425302134248389e+00
4.112500000000000711e+00 1.226931021545617950e+00
4.137500000000001066e+00 1.223417822157939261e+00
4.162500000000001421e+00 1.219886479522936051e+00
4.187500000000000888e+00 1.216337752096286806e+00
4.212500000000001243e+00 1.212772381582648551e+00
4.237500000000000711e+00 1.209191093273891404e+00
4.262500000000001066e+00 1.205594596380650918e+00
4.287500000000001421e+00 1.201983584357319002e+00
4.312500000000000888e+00 1.198358735220628635e+00
4.337500000000001243e+00 1.194720711861906093e+00
4.362500000000000711e+00 1.191070162353160322e+00
4.387500000000001066e+00 1.187407720247094733e+00
4.412500000000001421e+00 1.183734004871163537e+00
4.437500000000000888e+00 1.180049621615805400e+00
4.462500000000001243e+00 1.176355162216936812e+00
4.487500000000000711e+00 1.172651205032842370e+00
4.512500000000001066e+00 1.168938315315556364e+00
4.537500000000001421e+00 1.165217045476841351e+00
4.562500000000000888e+00 1.161487935348883616e+00
4.587500000000001243e+00 1.157751512439785468e+00
4.612500000000000711e+00 1.154008292183976492e+00
4.637500000000001066e+00 1.150258778187633224e+00
4.662500000000001421e+00 1.146503462469200318e+00
4.687500000000000888e+00 1.142742825695128861e+00
4.712500000000001243e+00 1.138977337410894464e+00
4.737500000000000711e+00 1.135207456267420367e+00
4.762500000000001066e+00 1.131433630242976829e+00
4.787500000000001421e+00 1.127656296860639840e+00
4.812500000000000888e+00 1.123875883401431297e+00
4.837500000000001243e+00 1.120092807113174382e+00
4.862500000000000711e+00 1.116307475415197370e+00
4.887500000000001066e+00 1.112520286098938715e+00
4.912500000000001421e+00 1.108731627524538910e+00
4.937500000000000888e+00 1.104941878813519684e+00
4.962500000000001243e+00 1.101151410037586542e+00
4.987500000000000711e+00 1.097360582403682505e+00
5.012500000000001066e+00 1.093569748435325506e+00
5.037500000000001421e+00 1.089779252150321343e+00
5.062500000000000888e+00 1.085989429234935244e+00
5.087500000000001243e+00 1.082200607214562682e+00
5.112500000000001599e+00 1.078413105621000234e+00
5.137500000000001066e+00 1.074627236156365129e+00
5.162500000000001421e+00 1.070843302853738077e+00
5.187500000000000888e+00 1.067061602234595785e+00
5.212500000000001243e+00 1.063282423463085546e+00
5.237500000000001599e+00 1.059506048497225850e+00
5.262500000000001066e+00 1.055732752237076744e+00
5.287500000000001421e+00 1.051962802669943020e+00
5.312500000000000888e+00 1.048196461012686154e+00
5.337500000000001243e+00 1.044433981851173643e+00
5.362500000000001599e+00 1.040675613276952571e+00
5.387500000000001066e+00 1.036921597021184471e+00
5.412500000000001421e+00 1.033172168585899442e+00
5.437500000000000888e+00 1.029427557372637025e+00
5.462500000000001243e+00 1.025687986808495822e+00
5.487500000000001599e+00 1.021953674469684215e+00
5.512500000000001066e+00 1.018224832202586416e+00
5.537500000000001421e+00 1.014501666242412004e+00
5.562500000000000888e+00 1.010784377329480233e+00
5.587500000000001243e+00 1.007073160823167779e+00
5.612500000000001599e+00 1.003368206813593178e+00
5.637500000000001066e+00 9.996697002310577229e-01
5.662500000000001421e+00 9.959778209533065585e-01
5.687500000000000888e+00 9.922927439106469238e-01
5.712500000000001243e+00 9.886146391889594209e-01
5.737500000000001599e+00 9.849436721306611409e-01
5.762500000000001066e+00 9.812800034336468524e-01
5.787500000000001421e+00 9.776237892482536607e-01
5.812500000000000888e+00 9.739751812722948765e-01
5.837500000000001243e+00 9.703343268441912972e-01
5.862500000000001599e+00 9.667013690342475263e-01
5.887500000000001066e+00 9.630764467341051960e-01
5.912500000000001421e+00 9.594596947444119506e-01
5.937500000000000888e+00 9.558512438607451589e-01
5.962500000000001243e+00 9.522512209578164466e-01
5.987500000000001599e+00 9.486597490720067860e-01
6.012500000000001066e+00 9.450769474822516836e-01
6.037500000000001421e+00 9.415029317893165439e-01
6.062500000000001776e+00 9.379378139935059533e-01
6.087500000000001243e+00 9.343817025708108792e-01
6.112500000000001599e+00 9.308347025475638414e-01
6.137500000000001066e+00 9.272969155736047187e-01
6.162500000000001421e+00 9.237684399939973812e-01
6.187500000000001776e+00 9.202493709193438898e-01
