# t[Gyr], SFR_thin.d/<SFR_thin.d>
2.787500000000000533e+00 1.592665186423577683e+00
2.812500000000000888e+00 1.591647187072775083e+00
2.837500000000000799e+00 1.590518779215740031e+00
2.862500000000000711e+00 1.589282726320967676e+00
2.887500000000000622e+00 1.587941735512115038e+00
2.912500000000000533e+00 1.586498458626935282e+00
2.937500000000000888e+00 1.584955493259799120e+00
2.962500000000000799e+00 1.583315383787814001e+00
2.987500000000000711e+00 1.581580622380613921e+00
3.012500000000000622e+00 1.579753649993869358e+00
3.037500000000000977e+00 1.577836857346602173e+00
3.062500000000000888e+00 1.575832585882413373e+00
3.087500000000000799e+00 1.573743128714702566e+00
3.112500000000000711e+00 1.571570731556016565e+00
3.137500000000000622e+00 1.569317593631650354e+00
3.162500000000000977e+00 1.566985868577623231e+00
3.187500000000000888e+00 1.564577665323198197e+00
3.212500000000000799e+00 1.562095048958067833e+00
3.237500000000000711e+00 1.559540041584386527e+00
3.262500000000000622e+00 1.556914623153799804e+00
3.287500000000000977e+00 1.554220732289642415e+00
3.312500000000000888e+00 1.551460267094486367e+00
3.337500000000000799e+00 1.548635085943204315e+00
3.362500000000000711e+00 1.545747008261737943e+00
3.387500000000000622e+00 1.542797815291751418e+00
3.412500000000000977e+00 1.539789250841353319e+00
3.437500000000000888e+00 1.536723022022092211e+00
3.462500000000000799e+00 1.533600799972394846e+00
3.487500000000000711e+00 1.530424220567645488e+00
3.512500000000001066e+00 1.527194885117116652e+00
3.537500000000000977e+00 1.523914361047910226e+00
3.562500000000000888e+00 1.520584182576147025e+00
3.587500000000000799e+00 1.517205851365554858e+00
3.612500000000000711e+00 1.513780837173684946e+00
3.637500000000001066e+00 1.510310578485926092e+00
3.662500000000000977e+00 1.506796483137525344e+00
3.687500000000000888e+00 1.503239928923804536e+00
3.712500000000000799e+00 1.499642264198758568e+00
3.737500000000000711e+00 1.496004808462231495e+00
3.762500000000001066e+00 1.492328852935861372e+00
3.787500000000000977e+00 1.488615661127974610e+00
3.812500000000000888e+00 1.484866469387634558e+00
3.837500000000000799e+00 1.481082487448002416e+00
3.862500000000000711e+00 1.477264898959223194e+00
3.887500000000001066e+00 1.473414862010993920e+00
