# t[Gyr], SFR_tot[Msun/pc^2/Gyr]
7.412500000000001421e+00 3.002103192797196840e+00
7.437500000000001776e+00 2.990335818804925161e+00
7.462500000000001243e+00 2.978613378106405030e+00
7.487500000000001599e+00 2.966935944566444050e+00
7.512500000000001954e+00 2.955303601518004530e+00
7.537500000000001421e+00 2.943716443672012684e+00
7.562500000000001776e+00 2.932174579244549051e+00
7.587500000000001243e+00 2.920678132323460741e+00
7.612500000000001599e+00 2.909227245498051673e+00
7.637500000000001954e+00 2.897822082776978725e+00
7.662500000000001421e+00 2.886462832821141689e+00
7.687500000000001776e+00 2.875149712519847967e+00
7.712500000000001243e+00 2.863882970940009987e+00
7.737500000000001599e+00 2.852662893679621003e+00
7.762500000000001954e+00 2.841489807657980649e+00
7.787500000000001421e+00 2.830364086376393029e+00
7.812500000000001776e+00 2.819286155684027850e+00
7.837500000000002132e+00 2.808256500084409968e+00
7.862500000000001599e+00 2.797275669618581428e+00
7.887500000000001954e+00 2.786344287361089300e+00
7.912500000000001421e+00 2.775463057564930391e+00
7.937500000000001776e+00 2.764632774490902722e+00
7.962500000000002132e+00 2.753854331955821078e+00
7.987500000000001599e+00 2.743128733632478777e+00
8.012500000000001066e+00 2.732457104131966297e+00
8.037500000000001421e+00 2.721840700896214216e+00
8.062500000000000000e+00 2.711280926924942491e+00
8.087500000000000355e+00 2.700779344356806000e+00
8.112500000000000711e+00 2.690337688919328230e+00
8.137500000000001066e+00 2.679957885255963568e+00
8.162500000000001421e+00 2.669642063131446807e+00
8.187500000000000000e+00 2.659392574508432805e+00
8.212500000000000355e+00 2.649212011479000761e+00
8.237500000000000711e+00 2.639103225024290289e+00
8.262500000000001066e+00 2.629069344563827126e+00
8.287500000000001421e+00 2.619113798243321245e+00
8.312500000000001776e+00 2.609240333895853414e+00
8.337500000000000355e+00 2.599453040596044318e+00
8.362500000000000711e+00 2.589756370710693201e+00
8.387500000000001066e+00 2.580155162331851493e+00
8.412500000000001421e+00 2.570654661959913323e+00
8.437500000000001776e+00 2.561260547284970102e+00
8.462500000000000355e+00 2.551978949894403215e+00
8.487500000000000711e+00 2.542816477713897516e+00
8.512500000000001066e+00 2.533780236967584365e+00
8.537500000000001421e+00 2.524877853421312324e+00
8.562500000000001776e+00 2.516117492651286813e+00
8.587500000000000355e+00 2.507507879058519240e+00
8.612500000000000711e+00 2.499058313328432313e+00
8.637500000000001066e+00 2.490778688014397169e+00
8.662500000000001421e+00 2.482679500904537928e+00
8.687500000000001776e+00 2.474771865813291338e+00
8.712500000000000355e+00 2.467067520422893789e+00
8.737500000000000711e+00 2.459578830786179449e+00
8.762500000000001066e+00 2.452318792090681487e+00
8.787500000000001421e+00 2.445301025275810947e+00
8.812500000000001776e+00 2.438539769090209752e+00
8.837500000000000355e+00 2.432049867175411162e+00
8.862500000000000711e+00 2.425846749765633970e+00
8.887500000000001066e+00 2.419946409601669401e+00
8.912500000000001421e+00 2.414365371670315508e+00
8.937500000000001776e+00 2.409120656399749372e+00
8.962500000000000355e+00 2.404229735965908610e+00
8.987500000000000711e+00 2.399710483395902205e+00
9.012500000000001066e+00 2.395581114191579708e+00
9.037500000000001421e+00 2.391860120240044019e+00
9.062500000000001776e+00 2.388566195828225602e+00
9.087500000000000355e+00 2.385718155635280890e+00
9.112500000000000711e+00 2.383334844640075723e+00
9.137500000000001066e+00 2.381435039950504429e+00
9.162500000000001421e+00 2.380037344637183860e+00
9.187500000000001776e+00 2.379160073735438363e+00
9.212500000000000355e+00 2.378821132666012694e+00
9.237500000000000711e+00 2.379037888416241309e+00
9.262500000000001066e+00 2.379827033918399337e+00
9.287500000000001421e+00 2.381204446160165134e+00
9.312500000000001776e+00 2.383185038662526178e+00
9.337500000000000355e+00 2.385782609061820381e+00
9.362500000000000711e+00 2.389009682634258613e+00
9.387500000000001066e+00 2.392877352701483495e+00
9.412500000000001421e+00 2.397395118953621118e+00
9.437500000000001776e+00 2.402570724820422221e+00
9.462500000000000355e+00 2.408409995109782820e+00
9.487500000000000711e+00 2.414916675215385666e+00
9.512500000000001066e+00 2.422092273269237594e+00
9.537500000000001421e+00 2.429935906679668634e+00
9.562500000000001776e+00 2.438444154549244569e+00
9.587500000000000355e+00 2.447610917508529216e+00
9.612500000000000711e+00 2.457427286529917598e+00
9.637500000000001066e+00 2.467881422299067040e+00
9.662500000000001421e+00 2.478958446719218056e+00
9.687500000000001776e+00 2.490640348104785851e+00
9.712500000000000355e+00 2.502905901584136394e+00
9.737500000000000711e+00 2.515730606177292383e+00
9.762500000000001066e+00 2.529086639941499737e+00
9.787500000000001421e+00 2.542942834486524806e+00
9.812500000000001776e+00 2.557264670052017408e+00
9.837500000000000355e+00 2.572014292211560083e+00
9.862500000000000711e+00 2.587150551123077680e+00
9.887500000000001066e+00 2.602629064083429533e+00
9.912500000000001421e+00 2.618402301967812207e+00
9.937500000000001776e+00 2.634419699943161941e+00
9.962500000000000355e+00 2.650627792640651847e+00
9.987500000000000711e+00 2.666970373757715507e+00
1.001250000000000107e+01 2.683388679836459900e+00
1.003750000000000142e+01 2.699821597735540202e+00
1.006250000000000178e+01 2.716205895078605437e+00
1.008750000000000213e+01 2.732476472727110473e+00
1.011250000000000071e+01 2.748566638091276548e+00
1.013750000000000107e+01 2.764408397862883060e+00
1.016250000000000142e+01 2.779932768530466891e+00
1.018750000000000178e+01 2.795070102824044778e+00
1.021250000000000213e+01 2.809750430035382163e+00
1.023750000000000071e+01 2.823903807974170288e+00
1.026250000000000107e+01 2.837460684152397050e+00
1.028750000000000142e+01 2.850352263641455330e+00
1.031250000000000178e+01 2.862510880921436573e+00
1.033750000000000213e+01 2.873870372941206952e+00
1.036250000000000071e+01 2.884366450533665471e+00
1.038750000000000107e+01 2.893937065283805232e+00
1.041250000000000142e+01 2.902522768929602925e+00
1.043750000000000178e+01 2.910067062387666770e+00
1.046250000000000213e+01 2.916516731537635465e+00
1.048750000000000071e+01 2.921822166971607793e+00
1.051250000000000107e+01 2.925937665016840938e+00
1.053750000000000142e+01 2.928821707471138236e+00
1.056250000000000178e+01 2.930437217649416226e+00
1.058750000000000213e+01 2.930751790525460532e+00
1.061250000000000071e+01 2.929737894963174050e+00
1.063750000000000107e+01 2.927373046264197143e+00
1.066250000000000142e+01 2.923639947511486703e+00
1.068750000000000178e+01 2.918526598458305088e+00
1.071250000000000213e+01 2.912026370996093405e+00
1.073750000000000071e+01 2.904138050529956772e+00
1.076250000000000107e+01 2.894865842893146191e+00
1.078750000000000142e+01 2.884219346739137713e+00
1.081250000000000178e+01 2.872213491657617190e+00
1.083750000000000213e+01 2.858868442565784207e+00
1.086250000000000071e+01 2.844209471225337627e+00
1.088750000000000107e+01 2.828266796024858198e+00
1.091250000000000142e+01 2.811075391444247895e+00
1.093750000000000178e+01 2.792674768879299219e+00
1.096250000000000213e+01 2.773108730748016004e+00
1.098750000000000071e+01 2.752425100024157967e+00
1.101250000000000107e+01 2.730675427545901535e+00
1.103750000000000142e+01 2.707914679628480759e+00
1.106250000000000178e+01 2.684200908669227559e+00
1.108750000000000213e+01 2.659594909573777421e+00
1.111250000000000071e+01 2.634159864956857167e+00
1.113750000000000107e+01 2.607960982185588694e+00
1.116250000000000142e+01 2.581065125446498243e+00
1.118750000000000178e+01 2.553540446140564413e+00
1.121250000000000213e+01 2.525456015059555526e+00
1.123750000000000071e+01 2.496881459990890839e+00
1.126250000000000107e+01 2.467886612661019718e+00
1.128750000000000142e+01 2.438541169286563282e+00
1.131250000000000178e+01 2.408914369487725526e+00
1.133750000000000213e+01 2.379074698959835032e+00
1.136250000000000071e+01 2.349089622121604659e+00
1.138750000000000107e+01 2.319025351977755722e+00
1.141250000000000142e+01 2.288946665645199552e+00
1.143750000000000178e+01 2.258916775361785145e+00
1.146250000000000213e+01 2.228997266248085474e+00
1.148750000000000071e+01 2.199248113491558687e+00
1.151250000000000107e+01 2.169727792763376240e+00
1.153750000000000142e+01 2.140493498273728257e+00
1.156250000000000178e+01 2.111601482545936381e+00
1.158750000000000213e+01 2.083107530285252196e+00
1.161250000000000071e+01 2.055067575113210143e+00
1.163750000000000107e+01 2.027538461886247312e+00
1.166250000000000142e+01 2.000578848307021484e+00
1.168750000000000178e+01 1.974250227176749029e+00
1.171250000000000213e+01 1.948618034760212447e+00
1.173750000000000071e+01 1.923752791519727667e+00
1.176250000000000107e+01 1.899731199565070749e+00
