# t[Gyr], [Fe/H]_thin.d
4.587500000000001243e+00 -1.526833912147508299e-01
4.612500000000000711e+00 -1.512129215797078929e-01
4.637500000000001066e+00 -1.497449321329576977e-01
4.662500000000001421e+00 -1.482793950765968205e-01
4.687500000000000888e+00 -1.468162829887709186e-01
4.712500000000001243e+00 -1.453555688163528092e-01
4.737500000000000711e+00 -1.438972258678005156e-01
4.762500000000001066e+00 -1.424412278061879533e-01
4.787500000000001421e+00 -1.409875486424043700e-01
4.812500000000000888e+00 -1.395361627285187645e-01
4.837500000000001243e+00 -1.380870447513026233e-01
4.862500000000000711e+00 -1.366401697259076453e-01
4.887500000000001066e+00 -1.351955129896920127e-01
4.912500000000001421e+00 -1.337530501961953222e-01
4.937500000000000888e+00 -1.323127573092507392e-01
4.962500000000001243e+00 -1.308746105972391494e-01
4.987500000000000711e+00 -1.294385866274740948e-01
5.012500000000001066e+00 -1.280046622607168283e-01
5.037500000000001421e+00 -1.265728146458183767e-01
5.062500000000000888e+00 -1.251430212144837295e-01
5.087500000000001243e+00 -1.237152596761562640e-01
5.112500000000001599e+00 -1.222895080130159684e-01
5.137500000000001066e+00 -1.208657444750926846e-01
5.162500000000001421e+00 -1.194439475754877078e-01
5.187500000000000888e+00 -1.180240960857033006e-01
5.212500000000001243e+00 -1.166061690310742360e-01
5.237500000000001599e+00 -1.151901456863025919e-01
5.262500000000001066e+00 -1.137760055710881346e-01
5.287500000000001421e+00 -1.123637284458570695e-01
5.312500000000000888e+00 -1.109532943075829392e-01
5.337500000000001243e+00 -1.095446833856966729e-01
5.362500000000001599e+00 -1.081378761380876741e-01
5.387500000000001066e+00 -1.067328532471885083e-01
5.412500000000001421e+00 -1.053295956161447444e-01
5.437500000000000888e+00 -1.039280843650658426e-01
5.462500000000001243e+00 -1.025283008273552010e-01
5.487500000000001599e+00 -1.011302265461181404e-01
5.512500000000001066e+00 -9.973384327064482857e-02
5.537500000000001421e+00 -9.833913295296781154e-02
5.562500000000000888e+00 -9.694607774448893434e-02
5.587500000000001243e+00 -9.555465999267775956e-02
5.612500000000001599e+00 -9.416486223783882004e-02
5.637500000000001066e+00 -9.277666720994359739e-02
5.662500000000001421e+00 -9.139005782552578339e-02
5.687500000000000888e+00 -9.000501718464504197e-02
5.712500000000001243e+00 -8.862152856790606048e-02
5.737500000000001599e+00 -8.723957543354077249e-02
5.762500000000001066e+00 -8.585914141455053272e-02
5.787500000000001421e+00 -8.448021031590124963e-02
5.812500000000000888e+00 -8.310276611177791484e-02
5.837500000000001243e+00 -8.172679294289220131e-02
5.862500000000001599e+00 -8.035227511384224197e-02
5.887500000000001066e+00 -7.897919709052558801e-02
5.912500000000001421e+00 -7.760754349760257131e-02
5.937500000000000888e+00 -7.623729911600818365e-02
5.962500000000001243e+00 -7.486844888051258362e-02
5.987500000000001599e+00 -7.350097787732889909e-02
6.012500000000001066e+00 -7.213487134176654880e-02
6.037500000000001421e+00 -7.077011465592963901e-02
6.062500000000001776e+00 -6.940669334645921396e-02
6.087500000000001243e+00 -6.804459308231836090e-02
6.112500000000001599e+00 -6.668379967261905961e-02
6.137500000000001066e+00 -6.532429906448922186e-02
6.162500000000001421e+00 -6.396607734098114229e-02
6.187500000000001776e+00 -6.260912071901825193e-02
6.212500000000001243e+00 -6.125341554737762095e-02
6.237500000000001599e+00 -5.989894830471520493e-02
6.262500000000001066e+00 -5.854570559762206639e-02
6.287500000000001421e+00 -5.719367415871823290e-02
6.312500000000001776e+00 -5.584284084478274846e-02
6.337500000000001243e+00 -5.449319263491514409e-02
6.362500000000001599e+00 -5.314471662873254676e-02
6.387500000000001066e+00 -5.179740004459765235e-02
6.412500000000001421e+00 -5.045123021787856210e-02
6.437500000000001776e+00 -4.910619459924170371e-02
6.462500000000001243e+00 -4.776228075297239695e-02
6.487500000000001599e+00 -4.641947635532728267e-02
6.512500000000001066e+00 -4.507776919291506257e-02
6.537500000000001421e+00 -4.373714716110521650e-02
6.562500000000001776e+00 -4.239759826246591867e-02
6.587500000000001243e+00 -4.105911060522748901e-02
6.612500000000001599e+00 -3.972167240177570946e-02
6.637500000000001066e+00 -3.838527196716612355e-02
6.662500000000001421e+00 -3.704989771766864504e-02
6.687500000000001776e+00 -3.571553816933625836e-02
6.712500000000001243e+00 -3.438218193659536848e-02
6.737500000000001599e+00 -3.304981773086290708e-02
6.762500000000001066e+00 -3.171843435918708654e-02
6.787500000000001421e+00 -3.038802072290935907e-02
6.812500000000001776e+00 -2.905856581634991276e-02
6.837500000000001243e+00 -2.773005872551548290e-02
6.862500000000001599e+00 -2.640248862682803566e-02
6.887500000000001954e+00 -2.507584478587543408e-02
6.912500000000001421e+00 -2.375011655618119999e-02
6.937500000000001776e+00 -2.242529337799714639e-02
6.962500000000001243e+00 -2.110136477711366254e-02
6.987500000000001599e+00 -1.977832036369087110e-02
7.012500000000001954e+00 -1.845614983110777096e-02
7.037500000000001421e+00 -1.713484295483047593e-02
7.062500000000001776e+00 -1.581438959129988220e-02
7.087500000000001243e+00 -1.449477967683554525e-02
7.112500000000001599e+00 -1.317600322655754219e-02
7.137500000000001954e+00 -1.185805033332787417e-02
7.162500000000001421e+00 -1.054091116670485828e-02
7.187500000000001776e+00 -9.224575971917392536e-03
7.212500000000001243e+00 -7.909035068853875750e-03
7.237500000000001599e+00 -6.594278851067780778e-03
7.262500000000001954e+00 -5.280297784797660654e-03
7.287500000000001421e+00 -3.967082408004918292e-03
7.312500000000001776e+00 -2.654623329423122513e-03
7.337500000000001243e+00 -1.342911227625753767e-03
7.362500000000001599e+00 -3.193685010538516167e-05
7.387500000000001954e+00 1.278308987631149307e-03
7.412500000000001421e+00 2.587835402954152819e-03
7.437500000000001776e+00 3.896651446989474188e-03
7.462500000000001243e+00 5.204766105482372396e-03
7.487500000000001599e+00 6.512188299649390721e-03
7.512500000000001954e+00 7.818926887016131033e-03
7.537500000000001421e+00 9.124990662243703810e-03
7.562500000000001776e+00 1.043038835794218855e-02
7.587500000000001243e+00 1.173512864547143764e-02
7.612500000000001599e+00 1.303922013573088901e-02
7.637500000000001954e+00 1.434267137993683328e-02
7.662500000000001421e+00 1.564549087038835662e-02
7.687500000000001776e+00 1.694768704122273650e-02
7.712500000000001243e+00 1.824926826915906908e-02
7.737500000000001599e+00 1.955024287423035023e-02
7.762500000000001954e+00 2.085061912050689692e-02
7.787500000000001421e+00 2.215040521680677887e-02
7.812500000000001776e+00 2.344960931739858978e-02
7.837500000000002132e+00 2.474823952269156191e-02
7.862500000000001599e+00 2.604630387991702101e-02
7.887500000000001954e+00 2.734381038380184759e-02
7.912500000000001421e+00 2.864076697722706122e-02
7.937500000000001776e+00 2.993718155188462848e-02
7.962500000000002132e+00 3.123306194891750653e-02
7.987500000000001599e+00 3.252841595955580090e-02
8.012500000000001066e+00 3.382325132574159898e-02
8.037500000000001421e+00 3.511757574074680921e-02
8.062500000000000000e+00 3.641139684977934277e-02
8.087500000000000355e+00 3.770472225058441040e-02
8.112500000000000711e+00 3.899755949403560518e-02
8.137500000000001066e+00 4.028991608471776953e-02
8.162500000000001421e+00 4.158179948150264593e-02
8.187500000000000000e+00 4.287321709811575676e-02
8.212500000000000355e+00 4.416417630369751102e-02
8.237500000000000711e+00 4.545468442335320880e-02
8.262500000000001066e+00 4.674474873869993719e-02
8.287500000000001421e+00 4.803437648840092056e-02
8.312500000000001776e+00 4.932357486869953789e-02
8.337500000000000355e+00 5.061235103393835200e-02
8.362500000000000711e+00 5.190071209707780575e-02
8.387500000000001066e+00 5.318866513020492626e-02
8.412500000000001421e+00 5.447621716503459055e-02
8.437500000000001776e+00 5.576337519340723858e-02
8.462500000000000355e+00 5.705014616777648317e-02
8.487500000000000711e+00 5.833653700169316725e-02
8.512500000000001066e+00 5.962255457028253769e-02
8.537500000000001421e+00 6.090820571071242640e-02
8.562500000000001776e+00 6.219349722266076519e-02
8.587500000000000355e+00 6.347843586877166544e-02
8.612500000000000711e+00 6.476302837510938826e-02
8.637500000000001066e+00 6.604728143160443210e-02
8.662500000000001421e+00 6.733120169249506848e-02
8.687500000000001776e+00 6.861479577676277142e-02
8.712500000000000355e+00 6.989807026856187377e-02
8.737500000000000711e+00 7.118103171764522674e-02
8.762500000000001066e+00 7.246368663978253188e-02
8.787500000000001421e+00 7.374604151717556455e-02
8.812500000000001776e+00 7.502810279886551470e-02
8.837500000000000355e+00 7.630987690113788524e-02
8.862500000000000711e+00 7.759137020792217232e-02
8.887500000000001066e+00 7.887258907118543938e-02
8.912500000000001421e+00 8.015353981131945194e-02
8.937500000000001776e+00 8.143422871752892256e-02
8.962500000000000355e+00 8.271466204820832058e-02
8.987500000000000711e+00 8.399484603131934790e-02
9.012500000000001066e+00 8.527478686475853387e-02
9.037500000000001421e+00 8.655449071672760564e-02
9.062500000000001776e+00 8.783396372609275637e-02
9.087500000000000355e+00 8.911321200274235910e-02
9.112500000000000711e+00 9.039224162794134987e-02
9.137500000000001066e+00 9.167105865468017090e-02
9.162500000000001421e+00 9.294966910801949478e-02
9.187500000000001776e+00 9.422807898543161809e-02
9.212500000000000355e+00 9.550629425713774712e-02
9.237500000000000711e+00 9.678432086644106480e-02
9.262500000000001066e+00 9.806216473005580081e-02
9.287500000000001421e+00 9.933983173843363712e-02
9.312500000000001776e+00 1.006173277560850066e-01
9.337500000000000355e+00 1.018946586218967276e-01
9.362500000000000711e+00 1.031718301494486401e-01
9.387500000000001066e+00 1.044488481273224689e-01
9.412500000000001421e+00 1.057257183194100225e-01
9.437500000000001776e+00 1.070024464652176155e-01
9.462500000000000355e+00 1.082790382801670503e-01
9.487500000000000711e+00 1.095554994558922690e-01
9.512500000000001066e+00 1.108318356605343391e-01
9.537500000000001421e+00 1.121080525390303340e-01
9.562500000000001776e+00 1.133841557134044331e-01
9.587500000000000355e+00 1.146601507830486977e-01
9.612500000000000711e+00 1.159360433250069544e-01
9.637500000000001066e+00 1.172118388942531286e-01
9.662500000000001421e+00 1.184875430239646921e-01
9.687500000000001776e+00 1.197631612257975542e-01
9.712500000000000355e+00 1.210386989901537369e-01
9.737500000000000711e+00 1.223141617864499375e-01
9.762500000000001066e+00 1.235895550633787643e-01
9.787500000000001421e+00 1.248648842491725253e-01
9.812500000000001776e+00 1.261401547518603561e-01
9.837500000000000355e+00 1.274153719595239043e-01
9.862500000000000711e+00 1.286905412405494609e-01
9.887500000000001066e+00 1.299656679438814244e-01
9.912500000000001421e+00 1.312407573992661058e-01
9.937500000000001776e+00 1.325158149174999744e-01
9.962500000000000355e+00 1.337908457906717974e-01
9.987500000000000711e+00 1.350658552924018929e-01
1.001250000000000107e+01 1.363408486780821605e-01
1.003750000000000142e+01 1.376158311851087834e-01
1.006250000000000178e+01 1.388908080331185957e-01
1.008750000000000213e+01 1.401657844242176765e-01
1.011250000000000071e+01 1.414407655432111666e-01
1.013750000000000107e+01 1.427157565578288656e-01
1.016250000000000142e+01 1.439907626189500522e-01
1.018750000000000178e+01 1.452657888608250847e-01
1.021250000000000213e+01 1.465408404012957799e-01
1.023750000000000071e+01 1.478159223420123514e-01
1.026250000000000107e+01 1.490910397686493472e-01
1.028750000000000142e+01 1.503661977511198122e-01
1.031250000000000178e+01 1.516414013437864527e-01
1.033750000000000213e+01 1.529166555856710241e-01
1.036250000000000071e+01 1.541919655006612766e-01
1.038750000000000107e+01 1.554673360977195662e-01
1.041250000000000142e+01 1.567427723710830278e-01
1.043750000000000178e+01 1.580182793004673014e-01
1.046250000000000213e+01 1.592938618512672599e-01
1.048750000000000071e+01 1.605695249747534081e-01
1.051250000000000107e+01 1.618452736082696131e-01
1.053750000000000142e+01 1.631211126754277263e-01
1.056250000000000178e+01 1.643970470863003186e-01
1.058750000000000213e+01 1.656730817376124154e-01
1.061250000000000071e+01 1.669492215129292356e-01
1.063750000000000107e+01 1.682254712828465948e-01
1.066250000000000142e+01 1.695018359051759793e-01
1.068750000000000178e+01 1.707783202251286214e-01
1.071250000000000213e+01 1.720549290754993521e-01
1.073750000000000071e+01 1.733316672768476785e-01
1.076250000000000107e+01 1.746085396376781951e-01
1.078750000000000142e+01 1.758855509546187745e-01
1.081250000000000178e+01 1.771627060125966491e-01
1.083750000000000213e+01 1.784400095850148249e-01
1.086250000000000071e+01 1.797174664339262762e-01
1.088750000000000107e+01 1.809950813102055855e-01
1.091250000000000142e+01 1.822728589537201405e-01
1.093750000000000178e+01 1.835508040935011076e-01
1.096250000000000213e+01 1.848289214479097442e-01
1.098750000000000071e+01 1.861072157248070402e-01
1.101250000000000107e+01 1.873856916217161439e-01
1.103750000000000142e+01 1.886643538259895614e-01
1.106250000000000178e+01 1.899432070149714713e-01
1.108750000000000213e+01 1.912222558561582630e-01
1.111250000000000071e+01 1.925015050073611844e-01
1.113750000000000107e+01 1.937809591168633272e-01
1.116250000000000142e+01 1.950606228235800543e-01
1.118750000000000178e+01 1.963405007572138761e-01
1.121250000000000213e+01 1.976205975384123237e-01
1.123750000000000071e+01 1.989009177789199390e-01
