# t[Gyr], fraction_in_stars&remnants_thin.d
2.937500000000000888e+00 6.590867988679691702e-01
2.962500000000000799e+00 6.590872964527173528e-01
2.987500000000000711e+00 6.590877954257050586e-01
3.012500000000000622e+00 6.590882957942817422e-01
3.037500000000000977e+00 6.590887975658544784e-01
3.062500000000000888e+00 6.590893007478881849e-01
3.087500000000000799e+00 6.590898053479065100e-01
3.112500000000000711e+00 6.590903113734922769e-01
3.137500000000000622e+00 6.590908188322881500e-01
3.162500000000000977e+00 6.590913277319969676e-01
3.187500000000000888e+00 6.590918380803831855e-01
3.212500000000000799e+00 6.588496255912836830e-01
3.237500000000000711e+00 6.588501388605645381e-01
3.262500000000000622e+00 6.588506536021883075e-01
3.287500000000000977e+00 6.616950532526759687e-01
3.312500000000000888e+00 6.616955709630946147e-01
3.337500000000000799e+00 6.616960901700948972e-01
3.362500000000000711e+00 6.616966108818869152e-01
3.387500000000000622e+00 6.616971331067476036e-01
3.412500000000000977e+00 6.616976568530205105e-01
3.437500000000000888e+00 6.616981821291175736e-01
3.462500000000000799e+00 6.616987089435190095e-01
3.487500000000000711e+00 6.616992373047745346e-01
3.512500000000001066e+00 6.615328429062732329e-01
3.537500000000000977e+00 6.615333743871675276e-01
3.562500000000000888e+00 6.615339074409888331e-01
3.587500000000000799e+00 6.615344420765719713e-01
3.612500000000000711e+00 6.615349783028250386e-01
3.637500000000001066e+00 6.615355161287299612e-01
3.662500000000000977e+00 6.615360555633436057e-01
3.687500000000000888e+00 6.615365966157986666e-01
3.712500000000000799e+00 6.615371392953042218e-01
3.737500000000000711e+00 6.615376836111466208e-01
3.762500000000001066e+00 6.615382295726903727e-01
3.787500000000000977e+00 6.643582842127576660e-01
3.812500000000000888e+00 6.641966910061074536e-01
3.837500000000000799e+00 6.641972419617387935e-01
3.862500000000000711e+00 6.641977946013297718e-01
3.887500000000001066e+00 6.641983489346495739e-01
3.912500000000000977e+00 6.641989049715507631e-01
3.937500000000000888e+00 6.641994627219707237e-01
3.962500000000000799e+00 6.642000221959319939e-01
3.987500000000001155e+00 6.642005834035441536e-01
4.012500000000001066e+00 6.642011463550039352e-01
4.037500000000000533e+00 6.642017110605964447e-01
4.062500000000000888e+00 6.642022775306968274e-01
4.087500000000001243e+00 6.642028457757704896e-01
4.112500000000000711e+00 6.642034158063740978e-01
4.137500000000001066e+00 6.668424864588939904e-01
4.162500000000001421e+00 6.668430600926009699e-01
4.187500000000000888e+00 6.668436355440693353e-01
4.212500000000001243e+00 6.668442128242335620e-01
4.237500000000000711e+00 6.668447919441247151e-01
4.262500000000001066e+00 6.668453729148724474e-01
4.287500000000001421e+00 6.668459557477056654e-01
4.312500000000000888e+00 6.668465404539536401e-01
4.337500000000001243e+00 6.668471270450475608e-01
4.362500000000000711e+00 6.668477155325216454e-01
4.387500000000001066e+00 6.668483059280140290e-01
4.412500000000001421e+00 6.668488982432684287e-01
4.437500000000000888e+00 6.668494924901351428e-01
4.462500000000001243e+00 6.668500886805727168e-01
4.487500000000000711e+00 6.666938832851053709e-01
4.512500000000001066e+00 6.666944833989978392e-01
4.537500000000001421e+00 6.694722137505453308e-01
4.562500000000000888e+00 6.694728178370549232e-01
4.587500000000001243e+00 6.694734239285927702e-01
4.612500000000000711e+00 6.694740320377932097e-01
4.637500000000001066e+00 6.694746421774078193e-01
4.662500000000001421e+00 6.694752543603076367e-01
4.687500000000000888e+00 6.694758685994834924e-01
4.712500000000001243e+00 6.694764849080485636e-01
4.737500000000000711e+00 6.694771032992393733e-01
4.762500000000001066e+00 6.694777237864173447e-01
4.787500000000001421e+00 6.694783463830704662e-01
4.812500000000000888e+00 6.693268638075255961e-01
4.837500000000001243e+00 6.693274906641073496e-01
4.862500000000000711e+00 6.693281196714033765e-01
4.887500000000001066e+00 6.693287508434242472e-01
4.912500000000001421e+00 6.693293841943149802e-01
4.937500000000000888e+00 6.720849159813325757e-01
4.962500000000001243e+00 6.720855537329455398e-01
4.987500000000000711e+00 6.720861937066890945e-01
5.012500000000001066e+00 6.720868359172645912e-01
5.037500000000001421e+00 6.720874803795171548e-01
5.062500000000000888e+00 6.720881271084371278e-01
5.087500000000001243e+00 6.720887761191622900e-01
5.112500000000001599e+00 6.720894274269796353e-01
5.137500000000001066e+00 6.720900810473274811e-01
5.162500000000001421e+00 6.719431700630845716e-01
5.187500000000000888e+00 6.719438283554226565e-01
5.212500000000001243e+00 6.719444890075330079e-01
5.237500000000001599e+00 6.719451520354788876e-01
5.262500000000001066e+00 6.719458174554848728e-01
5.287500000000001421e+00 6.719464852839391877e-01
5.312500000000000888e+00 6.746804804153269108e-01
5.337500000000001243e+00 6.746811531105076920e-01
5.362500000000001599e+00 6.746818282643050058e-01
5.387500000000001066e+00 6.746825058937835351e-01
5.412500000000001421e+00 6.746831860161830452e-01
5.437500000000000888e+00 6.746838686489202708e-01
5.462500000000001243e+00 6.746845538095920247e-01
5.487500000000001599e+00 6.746852415159768634e-01
5.512500000000001066e+00 6.745428700152378276e-01
5.537500000000001421e+00 6.745435628671261341e-01
5.562500000000000888e+00 6.745442583191818553e-01
5.587500000000001243e+00 6.745449563899375001e-01
5.612500000000001599e+00 6.745456570981208655e-01
5.637500000000001066e+00 6.772587432453391898e-01
5.662500000000001421e+00 6.772594492853548642e-01
5.687500000000000888e+00 6.772601580201791371e-01
5.712500000000001243e+00 6.772608694693474929e-01
5.737500000000001599e+00 6.772615836526048039e-01
5.762500000000001066e+00 6.772623005899077731e-01
5.787500000000001421e+00 6.772630203014284866e-01
5.812500000000000888e+00 6.772637428075571897e-01
5.837500000000001243e+00 6.772644681289051727e-01
5.862500000000001599e+00 6.772651962863085462e-01
5.887500000000001066e+00 6.771273364658290106e-01
5.912500000000001421e+00 6.771280703587654326e-01
5.937500000000000888e+00 6.798208477216572954e-01
5.962500000000001243e+00 6.798215874362469879e-01
5.987500000000001599e+00 6.798223300945549497e-01
6.012500000000001066e+00 6.798230757188347129e-01
6.037500000000001421e+00 6.798238243315876117e-01
6.062500000000001776e+00 6.798245759555676671e-01
6.087500000000001243e+00 6.798253306137842511e-01
6.112500000000001599e+00 6.798260883295069723e-01
6.137500000000001066e+00 6.798268491262686730e-01
