# t[Gyr], [Fe/H]
6.762500000000001066e+00 -7.036612852295127951e-02
6.787500000000001421e+00 -6.979700687754603061e-02
6.812500000000001776e+00 -6.922978881747063329e-02
6.837500000000001243e+00 -6.866446167291516411e-02
6.862500000000001599e+00 -6.810101290148647124e-02
6.887500000000001954e+00 -6.753943008649025692e-02
6.912500000000001421e+00 -6.697970093523912538e-02
6.937500000000001776e+00 -6.642181327739173080e-02
6.962500000000001243e+00 -6.586575506331840413e-02
6.987500000000001599e+00 -6.531151436249464648e-02
7.012500000000001954e+00 -6.475907936192147607e-02
7.037500000000001421e+00 -6.420843836457208742e-02
7.062500000000001776e+00 -6.365957978786393467e-02
7.087500000000001243e+00 -6.311249216215744640e-02
7.112500000000001599e+00 -6.256716412927661175e-02
7.137500000000001954e+00 -6.202358444105773860e-02
7.162500000000001421e+00 -6.148174195791872298e-02
7.187500000000001776e+00 -6.094162564745285449e-02
7.212500000000001243e+00 -6.040322458304637349e-02
7.237500000000001599e+00 -5.986652794251690751e-02
7.262500000000001954e+00 -5.933152500677411206e-02
7.287500000000001421e+00 -5.879820515850348039e-02
7.312500000000001776e+00 -5.826655788086987364e-02
7.337500000000001243e+00 -5.773657275624080598e-02
7.362500000000001599e+00 -5.720823946493298201e-02
7.387500000000001954e+00 -5.668154778397598015e-02
7.412500000000001421e+00 -5.615648758589690537e-02
7.437500000000001776e+00 -5.563304883752416552e-02
7.462500000000001243e+00 -5.511122159880902510e-02
7.487500000000001599e+00 -5.459099602166776755e-02
7.512500000000001954e+00 -5.407236234883910225e-02
7.537500000000001421e+00 -5.355531091276186789e-02
7.562500000000001776e+00 -5.303983213446909067e-02
7.587500000000001243e+00 -5.252591652249830739e-02
7.612500000000001599e+00 -5.201355467182160880e-02
7.637500000000001954e+00 -5.150273726278756931e-02
7.662500000000001421e+00 -5.099345506008414602e-02
7.687500000000001776e+00 -5.048569891171432455e-02
7.712500000000001243e+00 -4.997945974798808505e-02
7.737500000000001599e+00 -4.947472858053052897e-02
7.762500000000001954e+00 -4.897149650130414728e-02
7.787500000000001421e+00 -4.846975468164616691e-02
7.812500000000001776e+00 -4.796949437131973332e-02
7.837500000000002132e+00 -4.747070689758064316e-02
7.862500000000001599e+00 -4.697338366425684447e-02
7.887500000000001954e+00 -4.647751615084268900e-02
7.912500000000001421e+00 -4.598309591160455040e-02
7.937500000000001776e+00 -4.549011457470305414e-02
7.962500000000002132e+00 -4.499856384132541048e-02
7.987500000000001599e+00 -4.450843548483087581e-02
8.012500000000001066e+00 -4.401972134991105623e-02
8.037500000000001421e+00 -4.353241335175917631e-02
8.062500000000000000e+00 -4.304650347525446064e-02
8.087500000000000355e+00 -4.256198377415541106e-02
8.112500000000000711e+00 -4.207884637030835651e-02
8.137500000000001066e+00 -4.159708345286413506e-02
8.162500000000001421e+00 -4.111668727750725227e-02
8.187500000000000000e+00 -4.063765016569770988e-02
8.212500000000000355e+00 -4.015996450392067540e-02
8.237500000000000711e+00 -3.968362274294964798e-02
8.262500000000001066e+00 -3.920861739711814509e-02
8.287500000000001421e+00 -3.873494104360285933e-02
8.312500000000001776e+00 -3.826258632171680024e-02
8.337500000000000355e+00 -3.779154593221210195e-02
8.362500000000000711e+00 -3.732181263659208048e-02
8.387500000000001066e+00 -3.685337925643540624e-02
8.412500000000001421e+00 -3.638623867272622325e-02
8.437500000000001776e+00 -3.592038382519609913e-02
8.462500000000000355e+00 -3.545580771167483602e-02
8.487500000000000711e+00 -3.499250338744885891e-02
8.512500000000001066e+00 -3.453046396463073375e-02
8.537500000000001421e+00 -3.406968261153488220e-02
8.562500000000001776e+00 -3.361015255206368374e-02
8.587500000000000355e+00 -3.315186706510245274e-02
8.612500000000000711e+00 -3.269481948391976533e-02
8.637500000000001066e+00 -3.223900319557933269e-02
8.662500000000001421e+00 -3.178441164035813310e-02
8.687500000000001776e+00 -3.133103831117228788e-02
8.712500000000000355e+00 -3.087887675301180176e-02
8.737500000000000711e+00 -3.042792056238204437e-02
8.762500000000001066e+00 -2.997816338675267367e-02
8.787500000000001421e+00 -2.952959892401468139e-02
8.812500000000001776e+00 -2.908222092194430800e-02
8.837500000000000355e+00 -2.863602317767364319e-02
8.862500000000000711e+00 -2.819099953716912646e-02
8.887500000000001066e+00 -2.774714389471661519e-02
8.912500000000001421e+00 -2.730445019241274987e-02
8.937500000000001776e+00 -2.686291241966400414e-02
8.962500000000000355e+00 -2.642252461269134836e-02
8.987500000000000711e+00 -2.598328085404176882e-02
9.012500000000001066e+00 -2.554517527210770078e-02
9.037500000000001421e+00 -2.510820204064923011e-02
9.062500000000001776e+00 -2.467235537832573877e-02
9.087500000000000355e+00 -2.423762954823287241e-02
9.112500000000000711e+00 -2.380401885744390378e-02
9.137500000000001066e+00 -2.337151765655960667e-02
9.162500000000001421e+00 -2.294012033926137728e-02
9.187500000000001776e+00 -2.250982134187230754e-02
9.212500000000000355e+00 -2.208061514292167932e-02
9.237500000000000711e+00 -2.165249626271753547e-02
9.262500000000001066e+00 -2.122545926292240814e-02
9.287500000000001421e+00 -2.079949874613552102e-02
9.312500000000001776e+00 -2.037460935548076474e-02
9.337500000000000355e+00 -1.995078577419856503e-02
9.362500000000000711e+00 -1.952802272524354829e-02
9.387500000000001066e+00 -1.910631497088817465e-02
9.412500000000001421e+00 -1.868565731232988206e-02
9.437500000000001776e+00 -1.826604458930351088e-02
9.462500000000000355e+00 -1.784747167969953294e-02
9.487500000000000711e+00 -1.742993349918582624e-02
9.512500000000001066e+00 -1.701342500083455334e-02
9.537500000000001421e+00 -1.659794117475450401e-02
9.562500000000001776e+00 -1.618347704772562720e-02
9.587500000000000355e+00 -1.577002768284222617e-02
9.612500000000000711e+00 -1.535758817915482653e-02
9.637500000000001066e+00 -1.494615367132243883e-02
9.662500000000001421e+00 -1.453571932926402653e-02
9.687500000000001776e+00 -1.412628035781805791e-02
9.712500000000000355e+00 -1.371783199640388626e-02
9.737500000000000711e+00 -1.331036951868698644e-02
9.762500000000001066e+00 -1.290388823225141479e-02
9.787500000000001421e+00 -1.249838347827134100e-02
9.812500000000001776e+00 -1.209385063119154148e-02
9.837500000000000355e+00 -1.169028509840745571e-02
9.862500000000000711e+00 -1.128768231995237042e-02
9.887500000000001066e+00 -1.088603776818644273e-02
9.912500000000001421e+00 -1.048534694748945451e-02
9.937500000000001776e+00 -1.008560539395877281e-02
9.962500000000000355e+00 -9.686808675108873196e-03
9.987500000000000711e+00 -9.288952389576096702e-03
1.001250000000000107e+01 -8.892032166825688047e-03
1.003750000000000142e+01 -8.496043666862984969e-03
1.006250000000000178e+01 -8.100982579948071832e-03
1.008750000000000213e+01 -7.706844626313083882e-03
1.011250000000000071e+01 -7.313625555883218610e-03
1.013750000000000107e+01 -6.921321148001682334e-03
1.016250000000000142e+01 -6.529927211156212781e-03
1.018750000000000178e+01 -6.139439582711344462e-03
1.021250000000000213e+01 -5.749854128639629754e-03
1.023750000000000071e+01 -5.361166743261416498e-03
1.026250000000000107e+01 -4.973373348982133672e-03
1.028750000000000142e+01 -4.586469896037591483e-03
1.031250000000000178e+01 -4.200452362238059345e-03
1.033750000000000213e+01 -3.815316752717481680e-03
1.036250000000000071e+01 -3.431059099685334832e-03
1.038750000000000107e+01 -3.047675462181514538e-03
1.041250000000000142e+01 -2.665161925832305444e-03
1.043750000000000178e+01 -2.283514602611674046e-03
1.046250000000000213e+01 -1.902729630603365238e-03
1.048750000000000071e+01 -1.522803173766360115e-03
1.051250000000000107e+01 -1.143731421702662851e-03
1.053750000000000142e+01 -7.655105894286916811e-04
1.056250000000000178e+01 -3.881369171479367780e-04
1.058750000000000213e+01 -1.160667002668842400e-05
1.061250000000000071e+01 3.640838620274408741e-04
1.063750000000000107e+01 7.389383645847214270e-04
1.066250000000000142e+01 1.112960498910764342e-03
1.068750000000000178e+01 1.486153902179671504e-03
1.071250000000000213e+01 1.858522187688028352e-03
1.073750000000000071e+01 2.230068945062552068e-03
1.076250000000000107e+01 2.600797740469115455e-03
1.078750000000000142e+01 2.970712116816474815e-03
1.081250000000000178e+01 3.339815593960876461e-03
1.083750000000000213e+01 3.708111668905131417e-03
1.086250000000000071e+01 4.075603815997043931e-03
1.088750000000000107e+01 4.442295487127971391e-03
