# t[Gyr], h[pc]_thin.d
6.887500000000001954e+00 4.214155093923084792e+02
6.912500000000001421e+00 4.206345157904167422e+02
6.937500000000001776e+00 4.198519476858693906e+02
6.962500000000001243e+00 4.190677954055954615e+02
6.987500000000001599e+00 4.182820491721745384e+02
7.012500000000001954e+00 4.174946991023072087e+02
7.037500000000001421e+00 4.167057352052572696e+02
7.062500000000001776e+00 4.159151473812638642e+02
7.087500000000001243e+00 4.151229254199239449e+02
7.112500000000001599e+00 4.143290589985444967e+02
7.137500000000001954e+00 4.135335376804614498e+02
7.162500000000001421e+00 4.127363509133293746e+02
7.187500000000001776e+00 4.119374880273755366e+02
7.212500000000001243e+00 4.111369382336209810e+02
7.237500000000001599e+00 4.103346906220681376e+02
7.262500000000001954e+00 4.095307341598511357e+02
7.287500000000001421e+00 4.087250576893518428e+02
7.312500000000001776e+00 4.079176499262771358e+02
7.337500000000001243e+00 4.071084994576991676e+02
7.362500000000001599e+00 4.062975947400559562e+02
7.387500000000001954e+00 4.054849240971131508e+02
7.412500000000001421e+00 4.046704757178834484e+02
7.437500000000001776e+00 4.038542376545047432e+02
7.462500000000001243e+00 4.030361978200765520e+02
7.487500000000001599e+00 4.022163439864496013e+02
7.512500000000001954e+00 4.013946637819735201e+02
7.537500000000001421e+00 4.005711446891953642e+02
7.562500000000001776e+00 3.997457740425125507e+02
7.587500000000001243e+00 3.989185390257769086e+02
7.612500000000001599e+00 3.980894266698475690e+02
7.637500000000001954e+00 3.972584238500945730e+02
7.662500000000001421e+00 3.964255172838481940e+02
7.687500000000001776e+00 3.955906935277956791e+02
7.712500000000001243e+00 3.947539389753217165e+02
7.737500000000001599e+00 3.939152398537928548e+02
7.762500000000001954e+00 3.930745822217839418e+02
7.787500000000001421e+00 3.922319519662436846e+02
7.812500000000001776e+00 3.913873347995995005e+02
7.837500000000002132e+00 3.905407162568003514e+02
7.862500000000001599e+00 3.896920816922925610e+02
7.887500000000001954e+00 3.888414162769318523e+02
7.912500000000001421e+00 3.879887049948251274e+02
7.937500000000001776e+00 3.871339326401035805e+02
7.962500000000002132e+00 3.862770838136224825e+02
7.987500000000001599e+00 3.854181429195879218e+02
8.012500000000001066e+00 3.845570941621080578e+02
8.037500000000001421e+00 3.836939215416641673e+02
8.062500000000000000e+00 3.828286088515038159e+02
8.087500000000000355e+00 3.819611396739498446e+02
8.112500000000000711e+00 3.810914973766246590e+02
8.137500000000001066e+00 3.802196651085881740e+02
8.162500000000001421e+00 3.793456257963850931e+02
8.187500000000000000e+00 3.784693621399998733e+02
8.212500000000000355e+00 3.775908566087170470e+02
8.237500000000000711e+00 3.767100914368835447e+02
8.262500000000001066e+00 3.758270486195704052e+02
8.287500000000001421e+00 3.749417099081313154e+02
8.312500000000001776e+00 3.740540568056539428e+02
8.337500000000000355e+00 3.731640705623021859e+02
8.362500000000000711e+00 3.722717321705447375e+02
8.387500000000001066e+00 3.713770223602681426e+02
8.412500000000001421e+00 3.704799215937694044e+02
8.437500000000001776e+00 3.695804100606253542e+02
8.462500000000000355e+00 3.686784676724344649e+02
8.487500000000000711e+00 3.677740740574281517e+02
8.512500000000001066e+00 3.668672085549465578e+02
8.537500000000001421e+00 3.659578502097761543e+02
8.562500000000001776e+00 3.650459777663410819e+02
8.587500000000000355e+00 3.641315696627498255e+02
8.612500000000000711e+00 3.632146040246868210e+02
8.637500000000001066e+00 3.622950586591475712e+02
8.662500000000001421e+00 3.613729110480113036e+02
8.687500000000001776e+00 3.604481383414453148e+02
8.712500000000000355e+00 3.595207173511371366e+02
8.737500000000000711e+00 3.585906245433472463e+02
8.762500000000001066e+00 3.576578360317782312e+02
8.787500000000001421e+00 3.567223275702531851e+02
8.812500000000001776e+00 3.557840745451971998e+02
8.837500000000000355e+00 3.548430519679159829e+02
8.862500000000000711e+00 3.538992344666648364e+02
8.887500000000001066e+00 3.529525962785004936e+02
8.912500000000001421e+00 3.520031112409089928e+02
8.937500000000001776e+00 3.510507527832017445e+02
8.962500000000000355e+00 3.500954939176716607e+02
8.987500000000000711e+00 3.491373072305028700e+02
9.012500000000001066e+00 3.481761648724222482e+02
9.037500000000001421e+00 3.472120385490875378e+02
9.062500000000001776e+00 3.462448995112002876e+02
9.087500000000000355e+00 3.452747185443346325e+02
9.112500000000000711e+00 3.443014659584728179e+02
9.137500000000001066e+00 3.433251115772359299e+02
