# t[Gyr], SFR_thin.d[Msun/pc^2/Gyr]
8.012500000000001066e+00 2.831959557162222030e+00
8.037500000000001421e+00 2.823700180345999122e+00
8.062500000000000000e+00 2.815712417081397856e+00
8.087500000000000355e+00 2.808013285150258831e+00
8.112500000000000711e+00 2.800620553458584183e+00
8.137500000000001066e+00 2.793552724982620639e+00
8.162500000000001421e+00 2.786829013021191237e+00
8.187500000000000000e+00 2.780469310264805927e+00
8.212500000000000355e+00 2.774494150209712018e+00
8.237500000000000711e+00 2.768924660469735066e+00
8.262500000000001066e+00 2.763782507570490043e+00
8.287500000000001421e+00 2.759089832849821011e+00
8.312500000000001776e+00 2.754869179135560842e+00
8.337500000000000355e+00 2.751143407926590623e+00
8.362500000000000711e+00 2.747935606866521940e+00
8.387500000000001066e+00 2.745268987370331093e+00
8.412500000000001421e+00 2.743166772343455406e+00
8.437500000000001776e+00 2.741652074019736318e+00
8.462500000000000355e+00 2.740747762038561852e+00
8.487500000000000711e+00 2.740476321982753927e+00
8.512500000000001066e+00 2.740859704705851829e+00
8.537500000000001421e+00 2.741919166890129045e+00
8.562500000000001776e+00 2.743675103394140002e+00
8.587500000000000355e+00 2.746146872069208822e+00
8.612500000000000711e+00 2.749352611847797334e+00
8.637500000000001066e+00 2.753309055030891184e+00
8.662500000000001421e+00 2.758031334825793657e+00
8.687500000000001776e+00 2.763532789308141169e+00
8.712500000000000355e+00 2.769824763100872111e+00
8.737500000000000711e+00 2.776916408177124929e+00
8.762500000000001066e+00 2.784814485301232878e+00
8.787500000000001421e+00 2.793523167720957989e+00
8.812500000000001776e+00 2.803043848812846850e+00
8.837500000000000355e+00 2.813374955459134963e+00
8.862500000000000711e+00 2.824511768997968630e+00
8.887500000000001066e+00 2.836446255636241087e+00
8.912500000000001421e+00 2.849166908245458707e+00
8.937500000000001776e+00 2.862658601473726083e+00
8.962500000000000355e+00 2.876902462100042523e+00
8.987500000000000711e+00 2.891875756529870500e+00
9.012500000000001066e+00 2.907551797281884731e+00
9.037500000000001421e+00 2.923899870244925481e+00
9.062500000000001776e+00 2.940885184390674922e+00
9.087500000000000355e+00 2.958468845511299072e+00
9.112500000000000711e+00 2.976607855412848114e+00
9.137500000000001066e+00 2.995255137834409886e+00
9.162500000000001421e+00 3.014359592181249159e+00
9.187500000000001776e+00 3.033866175958186417e+00
9.212500000000000355e+00 3.053716016568653213e+00
9.237500000000000711e+00 3.073846552907322227e+00
9.262500000000001066e+00 3.094191706921355145e+00
9.287500000000001421e+00 3.114682085050051175e+00
9.312500000000001776e+00 3.135245209177216275e+00
9.337500000000000355e+00 3.155805776447702549e+00
9.362500000000000711e+00 3.176285947012650102e+00
9.387500000000001066e+00 3.196605658479679146e+00
9.412500000000001421e+00 3.216682965558408824e+00
9.437500000000001776e+00 3.236434403111407843e+00
9.462500000000000355e+00 3.255775370549347958e+00
9.487500000000000711e+00 3.274620535250655884e+00
9.512500000000001066e+00 3.292884252443074811e+00
9.537500000000001421e+00 3.310480998761269333e+00
9.562500000000001776e+00 3.327325816493528876e+00
9.587500000000000355e+00 3.343334765354997185e+00
9.612500000000000711e+00 3.358425378477397416e+00
9.637500000000001066e+00 3.372517119188111145e+00
9.662500000000001421e+00 3.385531835067123296e+00
9.687500000000001776e+00 3.397394205720229543e+00
9.712500000000000355e+00 3.408032180692329050e+00
9.737500000000000711e+00 3.417377403966750382e+00
9.762500000000001066e+00 3.425365621555372275e+00
9.787500000000001421e+00 3.431937068780154476e+00
9.812500000000001776e+00 3.437036833978908135e+00
9.837500000000000355e+00 3.440615195535569715e+00
9.862500000000000711e+00 3.442627929336865567e+00
9.887500000000001066e+00 3.443036583990625399e+00
9.912500000000001421e+00 3.441808721404206572e+00
9.937500000000001776e+00 3.438918120611643925e+00
9.962500000000000355e+00 3.434344943051908849e+00
9.987500000000000711e+00 3.428075857835100493e+00
1.001250000000000107e+01 3.420104125884216195e+00
1.003750000000000142e+01 3.410429642203795186e+00
1.006250000000000178e+01 3.399058935898988665e+00
1.008750000000000213e+01 3.386005127945000748e+00
1.011250000000000071e+01 3.371287847083478617e+00
1.013750000000000107e+01 3.354933104594485904e+00
1.016250000000000142e+01 3.336973129056444165e+00
1.018750000000000178e+01 3.317446162557298628e+00
1.021250000000000213e+01 3.296396220154412582e+00
1.023750000000000071e+01 3.273872814694718247e+00
1.026250000000000107e+01 3.249930649396598703e+00
1.028750000000000142e+01 3.224629280858260838e+00
1.031250000000000178e+01 3.198032755390787241e+00
1.033750000000000213e+01 3.170209221775516895e+00
1.036250000000000071e+01 3.141230523713036238e+00
1.038750000000000107e+01 3.111171775363112957e+00
1.041250000000000142e+01 3.080110923470859241e+00
1.043750000000000178e+01 3.048128299633188654e+00
1.046250000000000213e+01 3.015306166281730871e+00
1.048750000000000071e+01 2.981728259943853043e+00
1.051250000000000107e+01 2.947479335293274438e+00
1.053750000000000142e+01 2.912644713417431586e+00
1.056250000000000178e+01 2.877309837611662147e+00
1.058750000000000213e+01 2.841559839862739967e+00
1.061250000000000071e+01 2.805479121008783938e+00
1.063750000000000107e+01 2.769150947361385118e+00
1.066250000000000142e+01 2.732657066352575548e+00
1.068750000000000178e+01 2.696077343526387171e+00
1.071250000000000213e+01 2.659489422936204051e+00
1.073750000000000071e+01 2.622968412737938682e+00
1.076250000000000107e+01 2.586586597488683914e+00
1.078750000000000142e+01 2.550413178374767220e+00
1.081250000000000178e+01 2.514514042304949903e+00
1.083750000000000213e+01 2.478951560517729025e+00
1.086250000000000071e+01 2.443784417069274184e+00
1.088750000000000107e+01 2.409067467293587228e+00
1.091250000000000142e+01 2.374851626062211007e+00
1.093750000000000178e+01 2.341183785419718610e+00
1.096250000000000213e+01 2.308106760936354362e+00
1.098750000000000071e+01 2.275659265903089423e+00
1.101250000000000107e+01 2.243875912299655884e+00
1.103750000000000142e+01 2.212787237296116150e+00
1.106250000000000178e+01 2.182419753906175597e+00
1.108750000000000213e+01 2.152796024300273281e+00
1.111250000000000071e+01 2.123934754213560261e+00
1.113750000000000107e+01 2.095850906855001305e+00
1.116250000000000142e+01 2.068555834748293965e+00
1.118750000000000178e+01 2.042057428024598664e+00
1.121250000000000213e+01 2.016360277856578787e+00
1.123750000000000071e+01 1.991465853991915891e+00
1.126250000000000107e+01 1.967372695734961097e+00
1.128750000000000142e+01 1.944076616264253987e+00
1.131250000000000178e+01 1.921570920889343670e+00
1.133750000000000213e+01 1.899846640771020168e+00
1.136250000000000071e+01 1.878892784777589364e+00
1.138750000000000107e+01 1.858696613537759390e+00
1.141250000000000142e+01 1.839243941369344881e+00
1.143750000000000178e+01 1.820519473571013291e+00
1.146250000000000213e+01 1.802507188474887112e+00
1.148750000000000071e+01 1.785190775522719431e+00
1.151250000000000107e+01 1.768554142223097925e+00
1.153750000000000142e+01 1.752582003859707083e+00
1.156250000000000178e+01 1.737260569844832903e+00
1.158750000000000213e+01 1.722578339153992832e+00
1.161250000000000071e+01 1.708527013775017700e+00
1.163750000000000107e+01 1.695102532969706699e+00
1.166250000000000142e+01 1.682306221828662629e+00
1.168750000000000178e+01 1.670146034678150926e+00
1.171250000000000213e+01 1.658637857191176401e+00
1.173750000000000071e+01 1.647806810751768491e+00
1.176250000000000107e+01 1.637688479410241982e+00
1.178750000000000142e+01 1.628329954952367542e+00
1.181250000000000178e+01 1.619790571181591643e+00
1.183750000000000213e+01 1.612142177174882729e+00
1.186250000000000071e+01 1.605468784327409137e+00
1.188750000000000107e+01 1.599865417170432069e+00
1.191250000000000142e+01 1.595436007039981341e+00
1.193750000000000178e+01 1.592290194140915771e+00
1.196250000000000213e+01 1.590538949942818858e+00
1.198750000000000249e+01 1.590288999227381206e+00
1.201250000000000107e+01 1.591636108505706471e+00
1.203750000000000142e+01 1.594657411479600828e+00
1.206250000000000178e+01 1.599403056559052461e+00
1.208750000000000213e+01 1.605887577349134343e+00
1.211250000000000249e+01 1.614081493449819105e+00
1.213750000000000107e+01 1.623903733446522057e+00
1.216250000000000142e+01 1.635215521973695241e+00
1.218750000000000178e+01 1.647816376819741135e+00
1.221250000000000213e+01 1.661442811644180395e+00
1.223750000000000249e+01 1.675770230761721269e+00
1.226250000000000107e+01 1.690418335919249060e+00
1.228750000000000142e+01 1.704960148604518277e+00
1.231250000000000178e+01 1.718934499001768312e+00
1.233750000000000213e+01 1.731861563579639718e+00
1.236250000000000249e+01 1.743260770753030542e+00
1.238750000000000107e+01 1.752670163143103199e+00
1.241250000000000142e+01 1.759666129795752099e+00
1.243750000000000178e+01 1.763882322725023322e+00
1.246250000000000213e+01 1.765026563457559483e+00
1.248750000000000249e+01 1.762894632722801003e+00
1.251250000000000107e+01 1.757380016526886690e+00
1.253750000000000142e+01 1.748478941603120340e+00
1.256250000000000178e+01 1.736290351347772543e+00
1.258750000000000213e+01 1.721010822307228461e+00
1.261250000000000249e+01 1.702924770241244667e+00
1.263750000000000107e+01 1.682390612907266769e+00
1.266250000000000142e+01 1.659823816472855595e+00
1.268750000000000178e+01 1.635677932566380610e+00
1.271250000000000213e+01 1.610424820457230011e+00
1.273750000000000249e+01 1.584535240181295768e+00
1.276250000000000107e+01 1.558460903450763935e+00
1.278750000000000142e+01 1.532618894042363067e+00
1.281250000000000178e+01 1.507379138461576451e+00
1.283750000000000213e+01 1.483055345158564853e+00
1.286250000000000249e+01 1.459899561464816475e+00
1.288750000000000107e+01 1.438100245019550805e+00
1.291250000000000142e+01 1.417783530091452082e+00
1.293750000000000178e+01 1.399017202696146711e+00
1.296250000000000213e+01 1.381816789316162142e+00
1.298750000000000249e+01 1.366153113654138496e+00
