N,age,FeH,Mini,Mf,logL,logT,logg,phase,G_EDR3,GBP_EDR3,GRP_EDR3,age_WD,disk_label
1.58424849298784e-08,13.0,-2.7,0.78023416,0.734,3.13,3.6548,0.745,3.0,-2.876,-2.189,-3.679,nan,2
1.4486107795750726e-08,13.0,-2.7,0.78024083,0.73,3.167,3.6529,0.698,3.0,-2.956,-2.253,-3.77,nan,2
1.4041216095473503e-08,13.0,-2.7,0.78024751,0.726,3.205,3.6508,0.65,3.0,-3.039,-2.319,-3.865,nan,2
8.669962643046104e-09,13.0,-2.7,0.78025377,0.722,3.24,3.6489,0.604,3.0,-3.115,-2.378,-3.951,nan,2
1.8772259541936127e-09,13.0,-2.7,0.7802555,0.721,3.249,3.6484,0.593,3.0,-3.135,-2.394,-3.973,nan,2
1.2912710318302559e-09,13.0,-2.7,0.7802555,0.721,1.636,3.9762,3.516,4.0,0.853,0.856,0.844,nan,2
4.6561714270496754e-08,13.0,-2.7,0.78025669,0.721,1.643,3.9722,3.494,4.0,0.819,0.824,0.805,nan,2
9.164769021855757e-08,13.0,-2.7,0.78029841,0.721,1.663,3.962,3.433,4.0,0.729,0.739,0.704,nan,2
9.424108329946843e-08,13.0,-2.7,0.78034115,0.721,1.664,3.9614,3.43,4.0,0.723,0.734,0.697,nan,2
9.597724603133498e-08,13.0,-2.7,0.78038526,0.721,1.664,3.9612,3.429,4.0,0.722,0.733,0.697,nan,2
9.630277654402677e-08,13.0,-2.7,0.7804296,0.721,1.664,3.9609,3.428,4.0,0.721,0.732,0.695,nan,2
9.688873146590827e-08,13.0,-2.7,0.78047401,0.721,1.664,3.9601,3.424,4.0,0.717,0.729,0.69,nan,2
9.81800024977385e-08,13.0,-2.7,0.78051889,0.721,1.665,3.9591,3.42,4.0,0.712,0.724,0.684,nan,2
9.876595742010186e-08,13.0,-2.7,0.78056449,0.721,1.665,3.9576,3.413,4.0,0.705,0.718,0.674,nan,2
9.61074582364117e-08,13.0,-2.7,0.78060991,0.721,1.666,3.9559,3.405,4.0,0.696,0.71,0.664,nan,2
9.416512617992067e-08,13.0,-2.7,0.78065306,0.721,1.668,3.9538,3.395,4.0,0.685,0.7,0.649,nan,2
9.365512837758697e-08,13.0,-2.7,0.78069669,0.721,1.67,3.9513,3.384,4.0,0.671,0.689,0.633,nan,2
9.293896125038782e-08,13.0,-2.7,0.78073937,0.721,1.672,3.9484,3.37,4.0,0.656,0.675,0.614,nan,2
9.177790242339335e-08,13.0,-2.7,0.78078234,0.721,1.674,3.9452,3.355,4.0,0.64,0.661,0.593,nan,2
9.236385734527483e-08,13.0,-2.7,0.78082395,0.722,1.677,3.9415,3.338,4.0,0.621,0.645,0.569,nan,2
9.383959566795169e-08,13.0,-2.7,0.78086746,0.722,1.68,3.9372,3.318,4.0,0.6,0.628,0.542,nan,2
9.746383537078031e-08,13.0,-2.7,0.78091043,0.722,1.683,3.9326,3.296,4.0,0.578,0.61,0.512,nan,2
9.785447198552859e-08,13.0,-2.7,0.78095728,0.722,1.687,3.9272,3.27,4.0,0.554,0.59,0.479,nan,2
9.520682381932972e-08,13.0,-2.7,0.78100061,0.722,1.691,3.9214,3.242,4.0,0.53,0.571,0.444,nan,2
9.520682381908878e-08,13.0,-2.7,0.78104502,0.722,1.696,3.9151,3.213,4.0,0.505,0.553,0.408,nan,2
9.385044668472017e-08,13.0,-2.7,0.78108835,0.722,1.701,3.9084,3.181,4.0,0.48,0.535,0.369,nan,2
5.5882737938203633e-08,13.0,-2.7,0.78113151,0.722,1.706,3.9014,3.148,4.0,0.456,0.519,0.329,nan,2
3.168496985999774e-08,13.0,-2.7,0.78113985,0.722,1.707,3.9,3.141,4.0,0.451,0.516,0.321,nan,2
6.959842352122628e-08,13.0,-2.7,0.78116071,0.722,1.71,3.8967,3.126,4.0,0.441,0.51,0.304,nan,2
9.17779024236343e-08,13.0,-2.7,0.78120399,0.722,1.715,3.8897,3.092,4.0,0.42,0.498,0.265,nan,2
9.060599257914852e-08,13.0,-2.7,0.78124529,0.722,1.72,3.8823,3.058,4.0,0.401,0.49,0.228,nan,2
9.042152528902474e-08,13.0,-2.7,0.78128749,0.722,1.726,3.8745,3.02,4.0,0.383,0.483,0.19,nan,2
8.913025425695353e-08,13.0,-2.7,0.78132862,0.722,1.732,3.8663,2.982,4.0,0.365,0.477,0.151,nan,2
